pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
8N	K	chr5	1	100000	0.4595859585958596	247	10212	22220	2480
8N	Lesina	chr5	1	100000	0.6422222222222222	247	15028	23400	1300
K	Lesina	chr5	1	100000	0.4069542253521127	247	9246	22720	1980
8N	K	chr5	100001	200000	0.444972288202692	279	11240	25260	2640
8N	Lesina	chr5	100001	200000	0.584726443768997	279	15390	26320	1580
K	Lesina	chr5	100001	200000	0.4094339622641509	279	10416	25440	2460
8N	K	chr5	200001	300000	0.3117302052785923	306	8504	27280	3320
8N	Lesina	chr5	200001	300000	0.713127147766323	306	20752	29100	1500
K	Lesina	chr5	200001	300000	0.5194104960460101	306	14450	27820	2780
8N	Lesina	chr5	300001	400000	0.6654261057173678	389	24674	37080	1820
8N	K	chr5	300001	400000	0.3602865329512894	389	12574	34900	4000
K	Lesina	chr5	300001	400000	0.4260942760942761	389	15186	35640	3260
8N	Lesina	chr5	400001	500000	0.5473824312333629	236	12338	22540	1060
8N	K	chr5	400001	500000	0.323696682464455	236	6830	21100	2500
K	Lesina	chr5	400001	500000	0.404570895522388	236	8674	21440	2160
8N	K	chr5	500001	600000	0.3277893639207508	428	12574	38360	4440
8N	Lesina	chr5	500001	600000	0.6348432055749129	428	25508	40180	2620
K	Lesina	chr5	500001	600000	0.4483837865572088	428	17478	38980	3820
8N	Lesina	chr5	600001	700000	0.6015427215189874	532	30414	50560	2640
K	Lesina	chr5	600001	700000	0.4167150559933637	532	20094	48220	4980
8N	K	chr5	600001	700000	0.3374421539755995	532	16042	47540	5660
8N	K	chr5	700001	800000	0.4034863038064745	625	22684	56220	6280
8N	Lesina	chr5	700001	800000	0.5487755786648776	625	32718	59620	2880
K	Lesina	chr5	700001	800000	0.2898636840265641	625	16586	57220	5280
8N	K	chr5	800001	900000	0.4746675316250405	681	29268	61660	6440
8N	Lesina	chr5	800001	900000	0.4810419235511713	681	31210	64880	3220
K	Lesina	chr5	800001	900000	0.1087523870146403	681	6834	62840	5260
8N	Lesina	chr5	900001	1000000	0.4457169459962756	679	28722	64440	3460
K	Lesina	chr5	900001	1000000	0.1479562278725458	679	9194	62140	5760
8N	K	chr5	900001	1000000	0.4098568640208198	679	25198	61480	6420
8N	K	chr5	1000001	1100000	0.4126984126984127	460	17160	41580	4420
8N	Lesina	chr5	1000001	1100000	0.4585399449035812	460	19974	43560	2440
K	Lesina	chr5	1000001	1100000	0.1647444913267698	460	7028	42660	3340
8N	K	chr5	1100001	1200000	0.3284704370179948	689	20444	62240	6660
8N	Lesina	chr5	1100001	1200000	0.3450674019607843	689	22526	65280	3620
K	Lesina	chr5	1100001	1200000	0.2093520587296521	689	13118	62660	6240
8N	K	chr5	1200001	1300000	0.3064617534055187	627	17548	57260	5440
8N	Lesina	chr5	1200001	1300000	0.3477792732166891	627	20672	59440	3260
K	Lesina	chr5	1200001	1300000	0.2444132115249473	627	13912	56920	5780
8N	K	chr5	1300001	1400000	0.2755202821869488	636	15622	56700	6900
8N	Lesina	chr5	1300001	1400000	0.2912367724867725	636	17614	60480	3120
K	Lesina	chr5	1300001	1400000	0.2331121201536849	636	13348	57260	6340
K	Lesina	chr5	1400001	1500000	0.2663111438028687	608	14482	54380	6420
8N	Lesina	chr5	1400001	1500000	0.3134854771784232	608	18132	57840	2960
8N	K	chr5	1400001	1500000	0.2852519308569327	608	15512	54380	6420
8N	K	chr5	1500001	1600000	0.3161436672967864	584	16724	52900	5500
8N	Lesina	chr5	1500001	1600000	0.3724684684684685	584	20672	55500	2900
K	Lesina	chr5	1500001	1600000	0.2947408536585366	584	15468	52480	5920
8N	K	chr5	1600001	1700000	0.3708559498956159	537	17764	47900	5800
8N	Lesina	chr5	1600001	1700000	0.3809001956947162	537	19464	51100	2600
K	Lesina	chr5	1600001	1700000	0.2145722472370037	537	10484	48860	4840
8N	K	chr5	1700001	1800000	0.346562123039807	555	17238	49740	5760
8N	Lesina	chr5	1700001	1800000	0.3220364741641337	555	16952	52640	2860
K	Lesina	chr5	1700001	1800000	0.2240461049284578	555	11274	50320	5180
K	Lesina	chr5	1800001	1900000	0.2450403225806451	555	12154	49600	5900
8N	Lesina	chr5	1800001	1900000	0.2995077622112836	555	15820	52820	2680
8N	K	chr5	1800001	1900000	0.3061044176706827	555	15244	49800	5700
K	Lesina	chr5	1900001	2000000	0.2237333333333333	419	8390	37500	4400
8N	Lesina	chr5	1900001	2000000	0.2508337544214249	419	9928	39580	2320
8N	K	chr5	1900001	2000000	0.27684040838259	419	10304	37220	4680
8N	K	chr5	2000001	2100000	0.2926938369781312	449	11778	40240	4660
8N	Lesina	chr5	2000001	2100000	0.2737340274491244	449	11568	42260	2640
K	Lesina	chr5	2000001	2100000	0.2217670286278381	449	8986	40520	4380
8N	K	chr5	2100001	2200000	0.3050359712230215	471	12720	41700	5400
8N	Lesina	chr5	2100001	2200000	0.3141894925909295	471	13994	44540	2560
K	Lesina	chr5	2100001	2200000	0.2430391694195375	471	10300	42380	4720
8N	K	chr5	2200001	2300000	0.3321104536489151	573	16838	50700	6600
8N	Lesina	chr5	2200001	2300000	0.3502009499451954	573	19170	54740	2560
K	Lesina	chr5	2200001	2300000	0.2486202876020209	573	12794	51460	5840
8N	Lesina	chr5	2300001	2400000	0.3048772813089994	667	19378	63560	3140
K	Lesina	chr5	2300001	2400000	0.2126641966992253	667	12628	59380	7320
8N	K	chr5	2300001	2400000	0.3205525606469002	667	19028	59360	7340
8N	K	chr5	2400001	2500000	0.314163885799036	606	16946	53940	6660
8N	Lesina	chr5	2400001	2500000	0.3320353982300885	606	18760	56500	4100
K	Lesina	chr5	2400001	2500000	0.2467134416543574	606	13362	54160	6440
8N	K	chr5	2500001	2600000	0.3091761363636364	785	21766	70400	8100
8N	Lesina	chr5	2500001	2600000	0.2897804283003524	785	21380	73780	4720
K	Lesina	chr5	2500001	2600000	0.2605965909090909	785	18346	70400	8100
8N	K	chr5	2600001	2700000	0.3139223256870315	984	27644	88060	10340
8N	Lesina	chr5	2600001	2700000	0.2948378839590443	984	27644	93760	4640
K	Lesina	chr5	2600001	2700000	0.2786147964920171	984	24780	88940	9460
8N	K	chr5	2700001	2800000	0.3026604832804491	914	24800	81940	9460
8N	Lesina	chr5	2700001	2800000	0.3344867358708189	914	29000	86700	4700
K	Lesina	chr5	2700001	2800000	0.2452068126520681	914	20156	82200	9200
K	Lesina	chr5	2800001	2900000	0.281947095718571	815	20678	73340	8160
8N	Lesina	chr5	2800001	2900000	0.2573271413828689	815	19948	77520	3980
8N	K	chr5	2800001	2900000	0.2975	815	21896	73600	7900
8N	K	chr5	2900001	3000000	0.2918304825121266	873	22862	78340	8960
8N	Lesina	chr5	2900001	3000000	0.2982997328151566	873	24562	82340	4960
K	Lesina	chr5	2900001	3000000	0.3068655181280534	873	23868	77780	9520
8N	K	chr5	3000001	3100000	0.350904278782532	1015	31820	90680	10820
8N	Lesina	chr5	3000001	3100000	0.3636704119850187	1015	34956	96120	5380
K	Lesina	chr5	3000001	3100000	0.2401004147566033	1015	21998	91620	9880
8N	K	chr5	3100001	3200000	0.3690595089471494	1069	35474	96120	10780
8N	Lesina	chr5	3100001	3200000	0.3454166666666666	1069	34818	100800	6100
K	Lesina	chr5	3100001	3200000	0.2165532879818594	1069	21010	97020	9880
8N	K	chr5	3200001	3300000	0.3062218692083664	842	23132	75540	8660
8N	Lesina	chr5	3200001	3300000	0.2732713100326879	842	21736	79540	4660
K	Lesina	chr5	3200001	3300000	0.2431614939505523	842	18490	76040	8160
K	Lesina	chr5	3300001	3400000	0.2617777777777778	755	17670	67500	8000
8N	K	chr5	3300001	3400000	0.310047281323877	755	20984	67680	7820
8N	Lesina	chr5	3300001	3400000	0.270372460496614	755	19164	70880	4620
8N	K	chr5	3400001	3500000	0.2823283373997908	644	16200	57380	7020
8N	Lesina	chr5	3400001	3500000	0.2707621550591327	644	16484	60880	3520
K	Lesina	chr5	3400001	3500000	0.2229865191842378	644	12902	57860	6540
8N	K	chr5	3500001	3600000	0.2926354029062087	681	17722	60560	7540
8N	Lesina	chr5	3500001	3600000	0.264939119575398	681	16972	64060	4040
K	Lesina	chr5	3500001	3600000	0.244175392670157	681	14924	61120	6980
K	Lesina	chr5	3600001	3700000	0.2722035040431267	662	16158	59360	6840
8N	K	chr5	3600001	3700000	0.2905373436971949	662	17194	59180	7020
8N	Lesina	chr5	3600001	3700000	0.2906320179659929	662	18118	62340	3860
8N	Lesina	chr5	3700001	3800000	0.2640480360270202	840	21108	79940	4060
K	Lesina	chr5	3700001	3800000	0.2521693121693121	840	19064	75600	8400
8N	K	chr5	3700001	3800000	0.2705477639587192	840	20448	75580	8420
K	Lesina	chr5	3800001	3900000	0.2456625754108591	1063	23618	96140	10160
8N	K	chr5	3800001	3900000	0.2499372384937238	1063	23894	95600	10700
8N	Lesina	chr5	3800001	3900000	0.2413854003139717	1063	24602	101920	4380
8N	K	chr5	3900001	4000000	0.2732298951048951	1008	25006	91520	9280
8N	Lesina	chr5	3900001	4000000	0.2718363064008394	1008	25906	95300	5500
K	Lesina	chr5	3900001	4000000	0.2231056446299143	1008	20316	91060	9740
8N	K	chr5	4000001	4100000	0.2901845308205732	579	14782	50940	6960
8N	Lesina	chr5	4000001	4100000	0.2817589576547231	579	15570	55260	2640
K	Lesina	chr5	4000001	4100000	0.2323130569546687	579	11992	51620	6280
8N	K	chr5	4100001	4200000	0.2964761495487752	521	13798	46540	5560
8N	Lesina	chr5	4100001	4200000	0.288	521	14112	49000	3100
K	Lesina	chr5	4100001	4200000	0.2205807002561912	521	10332	46840	5260
8N	Lesina	chr5	4200001	4300000	0.2984485512206251	919	26162	87660	4240
K	Lesina	chr5	4200001	4300000	0.2502771752229453	919	20768	82980	8920
8N	K	chr5	4200001	4300000	0.2990046127700898	919	24632	82380	9520
8N	K	chr5	4300001	4400000	0.2949577861163227	960	25154	85280	10720
8N	Lesina	chr5	4300001	4400000	0.3053072010570359	960	27728	90820	5180
K	Lesina	chr5	4300001	4400000	0.2457956914523975	960	21222	86340	9660
8N	K	chr5	4400001	4500000	0.2711000216966804	1022	24990	92180	10020
8N	Lesina	chr5	4400001	4500000	0.2592561983471074	1022	25096	96800	5400
K	Lesina	chr5	4400001	4500000	0.2311677099071875	1022	21420	92660	9540
8N	K	chr5	4500001	4600000	0.260388945752303	877	20352	78160	9540
8N	Lesina	chr5	4500001	4600000	0.2491945179129598	877	20728	83180	4520
K	Lesina	chr5	4500001	4600000	0.2207802141764406	877	17318	78440	9260
K	Lesina	chr5	4600001	4700000	0.2412508784258608	954	20598	85380	10020
8N	K	chr5	4600001	4700000	0.2506481263257129	954	21270	84860	10540
8N	Lesina	chr5	4600001	4700000	0.2571899736147757	954	23394	90960	4440
8N	Lesina	chr5	4700001	4800000	0.2551379535085813	978	23488	92060	5740
K	Lesina	chr5	4700001	4800000	0.2387480009138679	978	20900	87540	10260
8N	K	chr5	4700001	4800000	0.2751025991792065	978	24132	87720	10080
8N	K	chr5	4800001	4900000	0.2824486529741264	841	21178	74980	9120
8N	Lesina	chr5	4800001	4900000	0.2640080260847755	841	21052	79740	4360
K	Lesina	chr5	4800001	4900000	0.2680484522207267	841	19916	74300	9800
8N	K	chr5	4900001	5000000	0.265093499554764	504	11908	44920	5480
8N	Lesina	chr5	4900001	5000000	0.2472848788638262	504	11840	47880	2520
K	Lesina	chr5	4900001	5000000	0.2307555555555555	504	10384	45000	5400
8N	K	chr5	5000001	5100000	0.2812109246462652	680	17092	60780	7220
8N	Lesina	chr5	5000001	5100000	0.2639394874961407	680	17098	64780	3220
K	Lesina	chr5	5000001	5100000	0.2521241830065359	680	15430	61200	6800
8N	K	chr5	5100001	5200000	0.2890555828824397	909	23506	81320	9580
8N	Lesina	chr5	5100001	5200000	0.2629474662947466	909	22624	86040	4860
K	Lesina	chr5	5100001	5200000	0.254280107922492	909	20734	81540	9360
K	Lesina	chr5	5200001	5300000	0.2712891014146244	1113	27232	100380	10920
8N	Lesina	chr5	5200001	5300000	0.2933320740460899	1113	31058	105880	5420
8N	K	chr5	5200001	5300000	0.2890643742502999	1113	28918	100040	11260
8N	K	chr5	5300001	5400000	0.2897683889030287	876	22770	78580	9020
8N	Lesina	chr5	5300001	5400000	0.2790764790764791	876	23208	83160	4440
K	Lesina	chr5	5300001	5400000	0.2439005833121988	876	19234	78860	8740
8N	Lesina	chr5	5400001	5500000	0.2720885466794995	1088	28270	103900	4900
8N	K	chr5	5400001	5500000	0.2741298595562793	1088	26936	98260	10540
K	Lesina	chr5	5400001	5500000	0.263752052545156	1088	25700	97440	11360
8N	Lesina	chr5	5500001	5600000	0.282907133243607	314	8408	29720	1680
8N	K	chr5	5500001	5600000	0.2763309352517986	314	7682	27800	3600
K	Lesina	chr5	5500001	5600000	0.2626591230551626	314	7428	28280	3120
8N	K	chr5	5600001	5700000	0.2991839762611276	604	16132	53920	6480
8N	Lesina	chr5	5600001	5700000	0.2792751583391977	604	15874	56840	3560
K	Lesina	chr5	5600001	5700000	0.2454612005856515	604	13412	54640	5760
K	Lesina	chr5	5700001	5800000	0.2707078313253012	886	21570	79680	8920
